Código Seção,Seção,Código Divisão,Divisão,Código Grupo,Grupo,Código Classe,Classe,Código Subclasse,Subclasse
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.5,Pecuária,01.59-8,Criação de animais não especificados anteriormente,0159-8/02,Criação de animais de estimação
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.5,Pecuária,01.59-8,Criação de animais não especificados anteriormente,0159-8/03,Criação de escargô
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.5,Pecuária,01.59-8,Criação de animais não especificados anteriormente,0159-8/04,Criação de bicho da seda
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.5,Pecuária,01.59-8,Criação de animais não especificados anteriormente,0159-8/99,Criação de outros animais não especificados anteriormente
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.6,Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita,01.61-0,Atividades de apoio à agricultura,0161-0/01,Serviço de pulverização e controle de pragas agrícolas
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.6,Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita,01.61-0,Atividades de apoio à agricultura,0161-0/02,Serviço de poda de árvores para lavouras
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.6,Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita,01.61-0,Atividades de apoio à agricultura,0161-0/03,"Serviço de preparação de terreno, cultivo e colheita"
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.6,Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita,01.61-0,Atividades de apoio à agricultura,0161-0/99,Atividades de apoio à agricultura não especificadas anteriormente
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.6,Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita,01.62-8,Atividades de apoio à pecuária,0162-8/01,Serviço de inseminação artificial de animais
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",1,"AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",1.6,Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita,01.62-8,Atividades de apoio à pecuária,0162-8/02,Serviço de tosquiamento de ovinos
